,Country,rural_pop,urban_pop,HDI,r_u,r_u_access,pop_growth,mort_rate,GDP_pcp,life_ex
0,AFG,26558.609,8971.472,0.493,2.9603401760602943,0.6010230179028133,3.06,53.2,2226.0,63.4
1,AGO,10472.554,19311.639,0.576,0.5422923450464251,0.37400530503978774,3.44,58.6,7859.4,59.2
2,ALB,1190.155,1740.032,0.789,0.6839845474106223,1.0031612223393045,-0.19999999999999998,8.6,12227.4,78.0
3,ARE,1292.709,8107.436,0.864,0.1594473271204361,1.0040160642570282,0.74,7.0,64243.0,77.2
4,ARG,3652.804,40618.237,0.832,0.0899301464019721,1.0101010101010102,1.08,10.2,23732.2,76.0
5,ARM,1081.248,1849.202,0.758,0.5847105940832856,1.0,0.43999999999999995,13.0,11290.0,74.4
6,AUS,3446.638,21003.923,0.937,0.1640949645454328,1.0,1.5799999999999998,3.2,48074.8,82.2
7,AZE,4388.663,5438.926,0.752,0.8068988252460135,0.8215417106652586,1.1600000000000001,23.6,14548.6,72.2
8,BDI,9483.827,1380.418,0.421,6.870257414783058,0.8100987925356751,3.16,46.2,831.4,60.2
9,BEL,233.097,11196.239,0.917,0.020819223312399816,1.0,0.48,3.0,49443.4,81.0
10,BEN,5949.046,5226.646,0.515,1.1382148322270154,0.846244131455399,2.8,64.4,2961.0,60.6
11,BFA,13676.652,5516.73,0.429,2.4791229587092354,0.7774358974358974,2.9400000000000004,59.8,1958.0,59.8
12,BGD,105622.933,59046.818,0.609,1.7887997453139644,1.0057803468208093,1.1199999999999999,30.8,3728.4,71.6
13,BGR,1794.614,5289.957,0.813,0.33924926043822284,0.9939759036144579,-0.64,7.0,19690.6,74.8
14,BHR,161.409,1331.175,0.839,0.12125302833962477,1.0,2.8,6.6,47840.0,76.8
15,BHS,67.508,327.853,0.804,0.20590935571734892,1.0,0.9800000000000001,11.8,35759.4,73.2
16,BLZ,203.824,170.857,0.719,1.1929508302264467,1.0111223458038423,2.12,13.2,7161.0,73.8
17,BOL,3417.155,7634.445,0.7,0.44759704209015855,0.7817993795243019,1.5,25.2,7957.2,70.2
18,BRA,28654.406,180633.872,0.76,0.1586325182687774,0.87,0.8400000000000001,14.4,15113.8,74.8
19,BRB,196.693,89.026,0.813,2.2093882685956916,1.0,0.2,13.0,15408.0,79.0
20,BWA,717.29,1574.371,0.724,0.4556041746195782,0.9304435483870968,1.56,31.6,17026.8,67.0
21,CAF,2749.797,1909.283,0.376,1.4402249430807272,0.6071428571428572,0.72,89.8,859.6,50.8
22,CAN,6830.253,29793.946,0.921,0.22924969388076355,0.99,1.02,4.8,47774.4,82.0
23,CHL,2258.558,15796.168,0.845,0.14298138637168203,0.9358074222668004,1.2,6.8,23521.8,79.8
24,CHN,597816.52,843314.783,0.753,0.7088889369083905,0.9538461538461539,0.52,9.4,12718.2,75.8
25,CIV,12068.187,12226.563,0.512,0.987046564108,0.7389903329752954,2.5,65.4,4389.8,56.2
26,CMR,10637.19,13416.537,0.56,0.7928416997620176,0.5559071729957806,2.68,57.4,3432.8,57.8
27,COD,45647.604,35692.384,0.456,1.2789172054183884,0.38471023427866835,3.3,74.0,1036.6,59.2
28,COG,1764.522,3496.228,0.609,0.5046930577754082,0.4175365344467641,2.5,38.8,3659.0,63.2
29,COL,9594.518,39471.097,0.76,0.24307705458502965,0.762396694214876,1.2,13.4,14081.6,76.6
30,COM,579.639,234.273,0.539,2.4742031732209857,0.9622030237580993,2.34,54.2,2996.4,63.4
31,CPV,189.808,356.58,0.647,0.5323013068596107,0.9287234042553191,1.24,17.0,6399.6,72.2
32,CRI,1051.813,3853.956,0.792,0.27291774996912266,0.922690763052209,1.08,8.0,18097.6,79.6
33,CYP,391.192,788.359,0.871,0.496210482787664,1.0,0.7799999999999999,2.2,35011.8,80.4
34,DEU,18672.1,63442.124,0.938,0.2943170692078342,1.0,0.56,3.0,51359.0,80.8
35,DJI,213.906,743.079,0.492,0.2878644128013307,0.6642710472279261,1.6599999999999997,54.2,4470.2,64.0
36,DNK,701.971,5031.58,0.929,0.13951303566672893,1.0,0.6000000000000001,3.8,53234.6,80.8
37,DOM,2123.575,8643.423,0.741,0.24568680718275615,0.9590163934426229,1.14,26.0,15286.4,73.2
38,DZA,11547.532,29770.61,0.758,0.38788362079245264,0.970344009489917,2.02,21.6,11433.6,76.0
39,ECU,6039.811,10585.047,0.757,0.570598411136011,0.8083511777301927,1.6199999999999999,13.0,11792.6,76.2
40,EGY,55893.406,41659.745,0.696,1.3416646213268948,0.99,2.2,20.0,10604.8,71.2
41,ESP,9233.918,37120.403,0.891,0.24875586614725062,1.0,-0.07999999999999999,3.0,37412.6,83.0
42,ETH,83640.582,21316.856,0.467,3.9236828357802858,0.5220193340494093,2.7599999999999993,43.2,1779.6,65.0
43,FIN,810.547,4712.684,0.924,0.1719926479263197,1.0,0.33999999999999997,2.0,45804.4,81.2
44,FJI,400.76,504.742,0.721,0.7939898007298778,0.9165829145728643,0.3,20.6,12442.8,67.0
45,FRA,12879.012,52100.536,0.89,0.247195383940004,1.0,0.38,4.0,43708.4,82.6
46,FSM,81.683,23.861,0.612,3.4232848581367086,0.9219409282700423,1.2600000000000002,28.0,3444.6,67.2
47,GAB,223.245,1801.892,0.7,0.12389477282767225,0.6862139917695473,3.3,35.6,15330.4,64.8
48,GBR,11156.164,55025.421,0.919,0.20274563642139148,1.0,0.74,4.0,44793.6,81.0
49,GHA,12857.864,15975.765,0.591,0.8048355743840749,0.9071274298056156,2.2600000000000002,38.8,4743.2,62.6
50,GIN,8165.321,4551.855,0.463,1.7938447072676964,0.727076591154261,2.4799999999999995,68.6,2173.2,59.6
51,GMB,827.654,1272.914,0.459,0.650204177187147,0.8959660297239915,3.0,40.0,2067.8,60.8
52,GNQ,359.435,908.254,0.59,0.3957428208408661,0.43448275862068964,4.04,68.0,28361.4,57.4
53,GRC,2374.332,8785.441,0.871,0.27025757728041194,1.0,-0.5399999999999999,4.0,28555.6,81.0
54,GRD,68.831,38.994,0.76,1.7651690003590297,0.9626262626262626,0.64,14.4,14943.8,72.4
55,GTM,8341.671,8571.832,0.649,0.9731491471134759,0.8821138211382114,1.7,24.0,8064.2,73.4
56,HND,4034.31,5230.757,0.621,0.7712669504624283,0.8603696098562628,1.7399999999999998,16.6,5306.2,74.4
57,HTI,5013.421,5967.808,0.501,0.8400774622776068,0.7334360554699537,1.38,53.2,1761.0,62.4
58,HUN,2813.212,6908.347,0.841,0.40721926677973763,1.0,-0.28,4.4,27417.0,76.0
59,IDN,119696.518,144294.861,0.704,0.8295272414448633,0.8439490445859872,1.2600000000000002,23.2,10175.0,70.6
60,IND,889216.746,449963.381,0.643,1.9761980275457127,0.9536560247167868,1.1199999999999999,35.0,5479.6,68.6
61,IRL,1764.335,2997.322,0.939,0.5886371234054933,0.9989785495403473,0.8600000000000001,3.0,66637.4,81.4
62,IRN,20782.6,60380.188,0.799,0.3441956821995983,0.9426816786079836,1.3199999999999998,13.8,13420.6,75.8
63,IRQ,11375.936,26898.682,0.684,0.42291797047899965,0.7473347547974414,3.2599999999999993,24.6,10789.0,69.8
64,ISL,20.862,314.163,0.935,0.06640501905062021,1.0,1.34,2.0,52212.0,82.4
65,ISR,637.763,7683.807,0.904,0.08300091347947704,1.0,1.94,3.0,37873.6,82.2
66,JAM,1289.697,1600.602,0.725,0.8057574587561429,0.916923076923077,0.5599999999999999,13.4,9496.2,74.0
67,JOR,897.788,8804.565,0.722,0.1019684674938512,0.943762781186094,3.8,15.2,10013.4,74.0
68,KEN,36498.515,13201.347,0.574,2.7647568842785515,0.696078431372549,2.5,35.8,3829.0,64.6
69,KGZ,3860.7,2184.417,0.671,1.7673823267260784,0.8914167528438469,2.0,20.0,4823.4,70.6
70,KHM,12327.338,3678.035,0.578,3.3516097590153437,0.691,1.58,27.4,3552.4,68.6
71,KIR,54.402,61.996,0.623,0.8775082263371831,0.579610538373425,1.4,44.8,2140.8,67.4
72,KOR,9429.948,41552.264,0.904,0.2269418580898504,0.8816449348044133,0.45999999999999996,3.0,38959.4,82.0
73,KWT,0.0,4136.528,0.809,0.0,1.0,3.8400000000000007,7.6,55208.0,75.0
74,LAO,4501.174,2356.986,0.602,1.909716052619744,0.810747663551402,1.52,42.2,6546.6,66.6
75,LBY,1286.565,5088.051,0.704,0.2528600833600135,0.9472954230235784,0.9199999999999999,11.4,12642.6,72.2
76,LKA,17038.849,3838.068,0.776,4.439433850572735,0.9644670050761421,0.9600000000000002,7.8,11836.0,76.2
77,LTU,938.898,1951.399,0.866,0.4811409660453859,0.9067201604814443,-1.1,4.0,31032.8,74.6
78,LUX,54.103,529.352,0.908,0.10220609348788709,1.0,2.3400000000000003,2.0,110631.0,82.2
79,LVA,622.436,1327.234,0.849,0.46897231384970556,0.9849699398797596,-0.9199999999999999,4.4,26472.4,74.4
80,MAR,13613.878,22125.702,0.675,0.6152969971303057,0.6616008105369807,1.3599999999999999,22.0,7059.8,75.6
81,MDA,2327.145,1724.067,0.709,1.3497996307568094,0.8400412796697626,-0.925,13.4,10617.2,71.4
82,MDG,16231.87,9339.025,0.518,1.7380690168406232,0.4325980392156863,2.7,41.0,1554.0,65.6
83,MDV,264.503,171.827,0.716,1.5393564457273885,0.9839195979899498,4.46,8.8,17510.8,77.6
84,MEX,26004.525,103158.751,0.765,0.25208258870834915,0.9475308641975307,1.24,14.0,19246.2,75.0
85,MLI,10833.712,7708.268,0.426,1.4054664420074652,0.6642487046632124,2.94,67.2,2131.8,57.6
86,MLT,23.498,407.337,0.883,0.05768687843235454,1.0,2.16,6.0,37974.4,82.0
87,MMR,37187.526,16183.083,0.577,2.297925926722368,0.8025889967637541,0.7400000000000001,40.8,4253.0,65.8
88,MNG,973.037,2102.61,0.729,0.4627757881870627,0.891566265060241,1.9600000000000002,17.4,10927.8,69.2
89,MOZ,19149.788,10519.046,0.442,1.8204871430355947,0.4590570719602978,2.84,61.6,1240.6,57.0
90,MRT,2085.278,2334.906,0.524,0.8930886296921589,0.9777397260273973,2.88,55.2,5041.0,63.8
91,MWI,15509.514,3112.59,0.482,4.982832303644232,0.9310344827586206,2.7599999999999993,37.8,1023.2,61.8
92,MYS,7764.814,23859.45,0.802,0.32543977333928487,0.93,1.36,7.0,24751.4,75.4
93,NAM,1292.108,1241.686,0.643,1.0406076898668424,0.8615071283095722,1.8,33.6,10171.0,62.0
94,NER,17965.903,3511.445,0.373,5.116384565328518,0.486,3.88,52.2,1133.6,60.6
95,NIC,2592.801,3624.78,0.653,0.7152988595169913,0.6988922457200404,1.3,16.6,5630.6,73.6
96,NLD,1520.119,15515.819,0.932,0.09797220501218788,1.0,0.44000000000000006,3.4,53397.6,81.8
97,NOR,961.814,4343.569,0.953,0.22143403270444187,1.0,1.0,2.0,61792.4,82.2
98,NPL,23638.57,5666.428,0.574,4.1716880546263,1.00990099009901,0.575,29.8,2882.0,69.6
99,NZL,636.894,4068.924,0.92,0.15652639370998328,1.0,1.6799999999999997,4.6,40366.8,81.4
100,OMN,762.22,3874.042,0.833,0.1967505773040148,0.9015706806282722,5.74,10.0,30369.6,76.8
101,PAK,125220.255,71795.7,0.558,1.7441191464112755,0.9574014909478168,2.1,62.2,4302.2,66.6
102,PAN,1337.579,2761.008,0.793,0.4844531417511286,0.9068577277379734,1.7,14.8,28414.6,77.8
103,PER,7166.47,24999.015,0.756,0.2866700948017352,0.7571115973741794,1.3,12.2,12124.4,75.8
104,PHL,55939.801,48978.289,0.709,1.1421346507224865,0.9637139807897545,1.56,23.4,7353.2,70.6
105,PLW,4.484,17.245,0.811,0.2600173963467672,0.8865979381443299,0.18,17.8,17605.2,
106,PNG,7170.073,1081.089,0.543,6.632268943629988,0.3727272727272727,2.0,40.0,4057.0,63.4
107,PRY,2635.972,4175.325,0.722,0.631321394142971,0.9490000000000001,1.3399999999999999,19.0,11879.6,73.6
108,QAT,24.338,2614.873,0.848,0.009307526598806137,1.0,4.3,6.6,97099.2,80.0
109,ROU,9065.003,10614.303,0.813,0.8540365768717928,1.0,-0.5,7.8,24284.4,75.0
110,RWA,10117.663,2090.744,0.529,4.839264395832297,0.8302540415704389,2.54,31.4,1862.4,67.2
111,SAU,5394.59,27543.623,0.856,0.19585622414306209,1.0,2.54,7.2,48182.8,74.8
112,SEN,8442.004,7408.563,0.51,1.1394927734298812,0.7244348762109795,2.8,36.4,2974.6,66.6
113,SLB,468.983,142.36,0.555,3.2943453217195837,0.8283261802575107,2.68,19.0,2316.6,72.2
114,SLE,4410.71,3146.502,0.435,1.4017820424077276,0.5630153121319198,2.2,92.2,1751.4,52.8
115,SLV,1832.049,4545.804,0.665,0.40301979583809594,0.8871794871794871,0.5,13.2,8157.8,72.4
116,STP,57.276,147.051,0.603,0.38949752126813153,0.9464105156723962,1.9,27.0,3746.4,69.4
117,SVN,951.104,1128.872,0.899,0.8425259905463153,0.9969909729187563,0.1,2.0,34240.4,80.8
118,SWE,1273.943,8636.758,0.935,0.14750245404583526,1.0,1.1,2.0,51153.8,82.0
119,SWZ,1044.238,323.016,0.603,3.2327748470663993,0.7361111111111113,0.8399999999999999,47.8,8353.6,55.2
120,SYC,41.437,53.3,0.8,0.7774296435272045,1.0,1.6199999999999999,12.8,25696.4,73.6
121,SYR,8495.489,9774.379,0.544,0.8691589511722432,0.9447453954496209,-3.6,17.8,,70.2
122,TCD,11494.121,3405.873,0.401,3.374794362561375,0.6239554317548747,3.2199999999999998,76.0,1760.2,53.0
123,TGO,4588.034,3209.66,0.51,1.4294454864378159,0.48358862144420134,2.56,50.6,1443.8,59.8
124,THA,35071.057,33966.456,0.762,1.0325203488995143,1.0040983606557377,0.4,9.2,16434.8,76.0
125,TJK,6514.203,2407.14,0.651,2.706200304095317,0.7164339419978518,2.4,32.8,2839.6,70.2
126,TON,82.993,25.027,0.717,3.316138570344028,0.9989969909729187,-0.12,15.0,5997.8,70.6
127,TTO,640.679,728.446,0.799,0.8795147478330583,1.0,0.58,17.8,28187.8,73.0
128,TUN,3616.197,7915.93,0.738,0.4568252877425647,0.932,1.0399999999999998,15.0,10492.0,76.0
129,TUR,20473.563,60271.457,0.805,0.3396891998147647,1.0,1.6599999999999997,11.4,25882.0,76.6
130,TZA,38367.191,18942.828,0.522,2.025420438806708,0.5893782383419689,3.0,40.8,2363.4,62.8
131,UGA,32920.646,9942.312,0.522,3.3111660547365642,0.793717277486911,3.5,39.4,2041.8,61.4
132,UKR,13600.408,30622.539,0.747,0.44413064507812366,1.024083769633508,-0.34,8.2,11921.0,71.2
133,USA,58215.947,266243.516,0.919,0.2186567690910452,0.987927565392354,0.6799999999999999,6.0,58237.6,79.0
134,UZB,15779.684,16130.957,0.707,0.9782236726562472,0.8213197969543148,1.6800000000000002,20.4,6037.2,70.8
135,VEN,3778.814,28198.251,0.735,0.1340088078512387,0.8200000000000001,0.019999999999999973,17.6,,72.6
136,VNM,61898.302,33642.498,0.69,1.8398842440296794,0.9778002018163472,1.04,17.2,6455.0,75.0
137,WSM,160.194,36.246,0.706,4.4196325111736465,1.0184615384615385,0.66,14.6,6120.0,72.8
138,YEM,18075.808,10174.612,0.463,1.7765599317202467,0.6458333333333334,2.58,43.0,,66.0
139,ZAF,19369.002,37348.154,0.704,0.5186066759818972,0.8172690763052209,1.52,28.6,12796.6,62.6
140,ZMB,9747.709,7346.421,0.589,1.3268650135896105,0.5992990654205608,3.06,46.6,3449.4,61.6
